description,company_name,name,address,city,country,languages,telephone,fax,website,linkedin
"
                Our company’s passion of machine production,  which started in 1950’s, went on focusing sheet metal working machine  production with the name of “Inan Machine Tool Industry” after the year 1970.  Inan Machine  Tool Industry who produced heavy type hydraulic press brake from 1974, changed  the name to “MVD Inan” and moved to workshop which is in 1. Organize Sanayi.  “MVD INAN”, mass-products mechanical press brakes and guillotine shears which  the years cannot aged, is the oldest active producer in its issue. First  production of Expanded Metal Press in 1988, Turkey’s first column movement  milling machine investment and Tandem Press brake, which is the first hydraulic  machine product of the company, and Guillotine Shear exported in 1994.   MVD INAN pay importance to export after bringing into compliance with CE from  2001, by the production of Turret Punch Press in 2002, Plasma Cutting Machine  in 2010, Oxygen Cutting Machine in 2011 and Fiber Laser Cutting Machine in 2012  had a wide product range. MVD INAN is a ISO 9001 Quality Certificated Turkish  Company and Worldwide brand, whose machines works with its quality and its  support over 70 countries, exports %80 of its products as initially from  Europe, North and South America, North and South Africa, Middle East, Middle  Asia and to Australia. 
                 
                 
            ",Mvd Machine,Yusuf Onur Özer,Konya Organize Sanayi Bölgesi Evrenköy Caddesi 1 Nolu Sokak No: 3   42050,Konya,Turkey,,+(90)-332-2392233,+(90)-332-2392121,www.mvd.com.tr,https://linkedin.com/in/yusuf-onur-ozer-87871312
"
                Fifteen years have been passed since the day we produced our first sock hanger and we gained priceless experiences in this period. We have endeavoured to present the best products to our customers with our growing expertise by each milestone. Our vision has been always becoming the best instead of bragging about being the biggest. Thats why we strived meticulously and strictly at every step of our work whether it is critic or a routine process. Thanks for your appreciation, today we are glad to reach our goal of becoming the best in own industry nationwide. Our next target is to integrate socks sector internationally, so we contacted global companies and gain approved producer titles. Moreover we stepped into direct commercial relations with international socks producers. We know that your trust will carry us forward to our goal confidently. The reason of this trust is our meticulous approach to every tiny detail which enables us to serve you the accurate and qualified products within the predetermined conditions and on time.
                 
                 
            ",Art Sock Hangers Co. Ltd.,Ismail Goncal,Vatan Mahallesi Maltepe San. Çarsisi No:164  Bayrampasa,İstanbul,Turkey,,+(90)-212-6747167,+(90)-212-5762207,www.artaski.com,https://linkedin.com/in/ismail-goncal-64180020
"
                We are a producer of the premium quality plastic cup, plastic plates, plastic food container, and plastic cutlery. We are located in Turkey and our clients are mainly in Europe, UK, USA, and the Middle East especially Israel.  Our company is most reputable for its high quality of products as well as customer care and after-sales services.    
                 
                 
            ",Sound Plastik,Yakup Amani,"Orta Mah. Erk Sk. No:8 P.K Orhanlı Tuzla, Istanbul Tuzla 34956",İstanbul,Turkey,English - Spanish - Russian - Arabic ,+(90)-219-8880219,+(90)-216-3941609,www.soundplastik.com,https://www.linkedin.com/in/yaghoob-amani-06709165
"
                HMS Makina Sanayi was established in 1979 to produce high precision turning products for automotive industry. In 2005, company expanded its production capacity and capability in Cigli, Izmir. After completely reorganizing itself in 2012, company moved to its new location in Manisa, Turkey in November 2013 . Today, HMS is a leading machining company producing many different products for its distinguished customers located mainly in EU countries. Over 70% of the total sales are export sales. HMS operates in its modern 23,500 m2 production facility built on 36,250 m2 ground. It employees 200 highly skilled personnel, including 35 Engineers and 14 Technicians, working in 2 shifts. HMS Makina is one of the major suppliers and a strategic partner for TAI (TUSAS Aerospace Industries-Ankara/Turkey) and supplying more than 1000 different part numbers and assemblies for the following programs: Boeing Commercial Aircraft Programs Airbus Commercial Aircraft Programs Sikorsky Helicopter Programs EADS-Casa Light Transporter Aircrafts Eurocopter Helicopter Programs Agusta Westland AW139 Program TAI-Hurkus, ATAK and TIHA Programs Bombardier C-Series FTE Program (Major Supplier For All Critical Items) 
                 
                 
            ",HMS Machine,Baki Şanlı,Ahmet Nazif Zorlu Bulvarı No:7 M.O.S.B 4.Bölge   45030,Manisa,Turkey,,+(90)-236-2901500,+(90)-236-2901505,www.hmsmakina.com.tr,https://www.linkedin.com/in/baki-%C5%9Fanl%C4%B1-0b34674b
"
                KIMETSAN LTD. was founded in 1986 with the main activities of Production, Consulting, Process Development, International Trade, Formulation, Feasibility Studies, Know-How Transfer, Industrial, Cleaning/Protection Systems. Nearly 1000 products are produced and some of these products are developed by R&D Department and are operated in SCALE UP procedure. The company has two plants, three offices in Turkey and two offices abroad. Production activities consist of 12 production groups.   PRODUCTION/EXPORT: a) Water Based Nanotech Paints and Paint Removers (Industrial/Architectural/Military) b) Concrete/Floor/Runway/Every kind of Protection Systems (including Heavy Duty Industrial Coatings) c) Clear and Colored Coats, Protectives, Pigments/Resins (Water based, solvent based)  d) Nanotech Acrylic Modified Polyurethane/Self Cure Polyurethane Resins and Acrylic Copolymer Resins and its products (Aircraft and Rocket Paints/Coatings, IR Paints/Coatings, Radom Paints/Coatings, CARC and RAM Coatings etc.) e) Fine/Specialty and Laboratory Chemicals  f) Organic Chemicals g) Inorganic Chemicals h) Performance Chemicals i) Military and Common Use Chemicals and Solutions j) Industrial Surface Cleaning Systems, Oil, Dirt and Carbon Removers (Water based/Solvent based) k) Electrochemicals l) Antifreeze additives, Anti-icers/De-icers m) Corrosion inhibitors, VCI Vapor phase corrosion inhibitors n) Photographic Chemicals, X-Ray developers/fixers, Automatic Processing Machines Cleaning Solution, NDT/NDI developers/fixers. o) Hospital Chemicals, Additives, Disinfectants and antimicrobial operating room theatres coatings  p) Synthesis and Formulations SERVICES: • Formulation • Consulting to Chemical and Metallurgy Industry • Feasibility, Process Development, Product Development • Analytical Services • Industrial Cleaning and Surface Protection Systems  • Corrosion Resistant Heavy Duty Industrial Coatings • Historical Buildings/Monuments Restoration • Military Research Projects Managements   INTERNATIONAL TRADE: Advanced Military/Civil Nanotech Coatings, Fine/Performance/Industrial Chemicals and Additives, Organic Intermediates, Pharmaceutical and Cosmetic Raw materials, Paints/Pigments, Electrochemicals, Resins, Food/Textile/Electronical Chemicals, Organic-Inorganic Specific Chemicals, Ink Additives, Sodalime, Catalysts, Minerals, Disinfectants, Polymer Additives, Corrosion Inhibitors, Agricultural/Veterinary Chemicals, Military Chemicals, Military Coatings and Surface Preparation Systems, Metal Salts/Pastes, Corrosion Resistant Heavy Duty Industrial Coatings   KİMETSAN “NANOCRYL”, “NANOGUARD”, “NANOSEPT” TRADE MARK PRODUCTS a) Water Based Nanotech Paints/Coatings b) Industrial/Architectural/Military Paints/Coatings c) Construction Paints/Indoor and Outdoor Paints/Coatings d) Wood Protection Paints/Coatings e) Antimicrobial/Antistatic Paints (Hospital, Operating Theatre Coatings) f) Military Vehicles/Artilleries Special Paints and Coatings (CARC Coatings) g) Emergency and Warning Signs  h) Military Camouflage Paints (IR/Thermal, UV, RAC/Radar, Ultra Mat) i) Aerospace Coatings j) Radom Coatings (Aero, Naval and Ground Radars ) k) Paints and Coatings for Aluminium/PVC/ Galvanized /Composite/Kevlar/Polyethylene l) Rocket/Launcher Paints /Coatings m) Termochromic Paints/Coatings n) Solar Reflective Paints/Coatings o) Insulation Coatings p) Luminescence Paints/Coatings q) Squalene Dye Based Paints/Coatings  r) IR Reflective Paints/Coatings s) Heat Insulation Nano Coatings (Military and Civil Uses)   KIMETSAN TRADE MARK PRODUCTS 1. Cleaning Solutions and Gels 2. Paint Removers (By surface Cleaning Systems and Chemical Cleaners) Antigraffiti Removers (Military /Civil)  3. Special Solvents and Formulations 4. Corrosion Inhibitors 5. Paints and Pigments 6. Fillers and Joint Fillers 7. Industrial Chemicals and Additives 8. Industrial Cleaning and Protection Systems 9. R&D and Laboratory Reagent Chemicals 10. Fine Chemicals 11. Performance Chemicals 12. Antifreeze Additives 13. De-Icing Solutions   ARMEX/ARM&HAMMER TRADE MARK PRODUCTS • Accustrip/Armex Industrial Fast Cleaning/Paint Remover Systems • Armakleen Industrial Water Based Oil and Carbon Removers   KİMETSAN GROUP COMPANIES • Kimetsan Chemical Mining and Metallurgical Ind. Int. Trade Cons. And Eng. Co.Ltd./TURKEY • Aqua Surface Technology International Ltd./England  • Kimetsan Aerospace Coatings Ltd./England • R&K Chemicals Ltd/England  • Korukim Chemical and Protection Tech. Co.Ltd./TURKEY • Kimteksan Chemical Industries Co. Ltd./TURKEY • Kimetsan Pharmaceutical and Chemical Industries Co.Ltd./TURKEY
                 
                 
            ",Kimetsan Aerospace And Defence Coatings Ltd,Duygu Göçhan,Muhsin Yazıcıoğlu Cad. No:61 Akman Plaza Kat:23  Çankaya  06530,Ankara,Turkey,,+(90)-312-4174977,+(90)-312-4185617,www.kimetsan.com,https://linkedin.com/in/duygu-göçhan-82741aa5
"
                Duratek is specialized in polymer chemistry and it has been designing, producing and marketing mainly epoxy, polyurethane and acrylic based products for almost 40 years. Duratek started its activity under the name of our sister company KISATI in 1973. First production took place in 1976 with tin stabilizers KİSTAB used in transparent PVC products. In 1982, epoxy resin and hardener production started under SCHERING Industrie Chemicalien license. After 1998, the production of epoxy resins and hardeners continued independently with its own know how under MAREPOKS and KISAMID brand names. Duratek started with the production of construction chemicals in mid 80's. It's product pallet for construction widened from foundation wrapping materials to water isolation membranes for roofs. Today, Duratek has epoxy and polyurethane based products for Paint - Construction Chemicals, Marine, Composite, Industrial Adhesives and Coatings, Electronics and Automotive industries. Being still the only epoxy raw material producer in Turkey and a formulator of epoxy and polyurethane based materials, Duratek has an integrated product pallet. This character is very unique in the world. Activity areas of Duratek : CONSTRUCTION Wall to wall seamless membranes for spray application - Foundation Wrapping - Water isolation for roofs Anchorage Pastes - Concrete Adhesives - Repair Systems - Dilatation Joint Filler Pastes Building Reinforcement - Injection Systems Industrial Floor Coatings, Conductive Floorings Coatings and solvent-free Epoxy and Polyurethane based Paints for Pool, Floor, Car Park PAINTS and COATINGS Solvent based or solvent free corrosion resistant epoxy, polyurethane and acrylic paints Interior and Exterior Coatings for Steel and Concrete Tanks Coating Systems for Steel Constructions Surface Tolerant Epoxy Paints Paints and Coatings for Steel and Concrete Jetty Piles Under Water Protection Coatings for Jetty Piles Coatings for Steel Constructions Exposed to Corrosive Gasses Fire Retardant Paints and Coatings MARINE Wood Adhesives for Boat Construction Pastes, Epoxy and Polyurethane based Paints, Elastic Deck Coatings, Fire Retardant Interior and Exterior Coatings  Antifoulings COMPOSITES Epoxy Systems Suitable for Hand Lamination, Vacuum Bagging, Vacuum Infusion, RTM and L-RTM techniques. Epoxy Systems and Adhesives, Polyurethane Pastes and Paints used in Wind Turbine Blade Production INDUSTRIAL ADHESIVES Adhesives for Metal-Wood-Composite Substrates ELECTRICITY - ELECTRONICS Epoxy and / or polyurethane based casting resins for transformator and isolators; isolation kits for condensators; electrical isolation and repair kits. Besides these products, our company participates also in turn key projects, where used materials are designed and produced by Duratek itself. The headquarters are located in Gebze Organized Industrial Zone. Duratek serves its customers with its 90 employees through its branch in Tuzla and district offices in Adana, Antalya and İzmir. Duratek has very extensive R&D opportunities in its 300 m2 laboratories, where new products are designed and developed according to the customers' needs. This makes Duratek a crucial solution partner of a craftsman, a technician, an engineer or a business entrepreneur. R&D expenditure comprises 2% of Duratek's annual turnover. Duratek operates according to the ISO 9001:2008 certificate obtained from TUV. We give special importance to the environment and we believe that in fact the environmental consciousness is the most important part of quality. Duratek operates all of its activities and working conditions under national and international regulations and laws. Its commitment by signing the ''Responsible Care'' in 2005 is the best proof of that fact. Duratek is one of the founding members of KAYIK Association, which is found to underline the importance of wood as a yacht-building material, to promote Turkey's unique craftsmanship and accumulation of expertise and to create new international ties.
                 
                 
            ",Duratek Epoxy And Polyurethane Systems,Kamil Atılgan,Gebze Organize Sanayi Bölgesi 700. Sokak No: 720  Gebze 41480,Kocaeli,Turkey,,+(90)-262-7512060,+(90)-262-7510159,www.duratek.com.tr,https://www.linkedin.com/in/kamil-atilgan-133042113
"
                The Ekmekçioğulları Group, based by Hüseyin Ekmekçi who founded Emek Bakır in Çorum in 1960 has widened its service field of copper plates by adding the production of ingot copper in 1976. The process of incorporation started in the 1990's with the production of zinc plates, and as we reached the 2000's, Ekmekçioğulları Metal and Chemistry Production Plants has started up and the process of zinc alloys has started. Ekmekçioğulları became to be the leader company of Turkey in this sector in a very short time and has managed to make itself a name abroad with its zinc oxide. The Ekmekçioğulları Group offers its services with its nearly 60 high quality products produced in its metal chemistry and zinc copper plumb factories in Turkey and in a total of 50 countries abroad in America, Europe, Middle East and Asia. The Ekmekçioğulları Group continues its industrial journey in Çorum, one of Anatolia's important cites in production and investment, it keeps its quality and trustworthiness with its local and foreign participations and it continues to 
                 
                 
            ",Ekmekçioğulları Metal Chemistry,Emel Coşkun ,Çorum - Ankara Yolu 5.km,Çorum,Turkey,,+(90)-364-2350200,+(90)-364-2350199,www.ekmekciogullari.com.tr,https://www.linkedin.com/in/emel-coşkun-2481181b
"
                
                 
                 
            ",Kayalar Plastic,Gökhan Özçeken,Türkoba Mahallesi Kayalar Cad. No:5  Büyükçekmece,İstanbul,Turkey,,+(90)-212-8590002,,www.kayalarplastik.com,https://linkedin.com/in/gökhan-özçeken-0b50b910a
"
                Cobra Yacht, was established in 1978 in Bodrum, Turkey, has achieved fame both in Turkey and worldwide by enabling people to experience a privileged blue voyage in the Aegean and Mediterranean waters with yachts with international quality certificates, such as Lloyd, MCA, RINA & CE, built in their own Cobra Yacht Shipyard. Yachts built of steel, aluminium and wooden materials include speed boats, motor yachts and sailing boats. Chartering and delivery of the yachts, which are built in accordance with the standards of Lloyd, RINA & CE, and MCA in terms of the design and engineering processes, are of the first order of importance on which Cobra Yacht places strict emphasis. The Cobra Yacht Shipyard employs 8 managers and 40 employees. In the 1500 m² enclosed area of the shipyard, which has a total area of 4000 m², boats of up to 55 meters in length are built. In another area of the Cobra Shipyard, administrative and social units with a surface of 300 m² are situated. The open area of the shipyard has a capacity suitable for hosting and maintenance of 8 large boats. The purpose of Cobra Yacht as a company specialized in manufacturing to special order is to become the most widely recognized and preferred brand manufacturer in custom manufacturing of displacement or semi-displacement yacht types. The length of boats that Cobra Yacht mainly focuses on varies from 24 meters to 55 meters. Cobra Yacht, specialized in the use of steel and aluminium as the main material, also builds wooden and composite yachts. Cobra Yacht has been building boats for distinguished customers for many years. The world’s 60th richest person, listed in Forbes and president of a world-renowned football club, is included in the exclusive customer profile of Cobra Yacht. Cobra Yacht is aware that it creates happiness, comfort and peace when building a yacht, and therefore all customers are considered as part of the family. Aware that the adventure of blue voyage is an endless journey to happiness and the discovery of new adventures, Cobra Yacht is happy to serve for the comfort and pleasure of its customers, who are family members. This is why the mission adopted by Cobra Yacht is “to build new living spaces in the endless seas which make up 75% of the world”, in other words, to design the comfort and entertainment that is essential for your blue voyage dream in a stylish and comfortable way.
                 
                 
            ",Cobra Yacht,Elif Baki,İçmeler Mevkii  Bodrum 48400,Muğla,Turkey,,+(90)-252-3168555,+(90)-252-3131137,www.cobrayacht.com,https://www.linkedin.com/in/elifbaki
"
                Motus Crankshaft which has been uninterruptedly active in automotive sector since 2003 under the motto of “High Performance Shared Power” is a growing trademark on both domestic and international grounds with strong infrastructure, sophisticated machinery, broad product range, immense production capacity as well as qualified and experienced personnel. Motus Crankshaft aims at becoming a rule-setting company of its sector on a global level. Motus Crankshaft, which makes use of high quality spheroidal graphite cast iron in connection with the production process already succeeded in producing crankshafts within the regular measurement tolerances at global standarts as a consequce of an innovative technology of ADI (i.e. Austempered Ductile Iron) implemented for the first time in the country under supervision of its experienced metalurgical engineers. Motus Crankshaft achieved to reduce the failure rate in production down to such a low level (%0,1) by virtue of the fully automatic CNC machine (i.e. robot) integrated into the production line after being imported from Europe. Motus Crankshaftadded crankshafts suitable for engines of passenger cars and commercial vehicles to the product range in addition to the ones suitable for engines of heavy duty vehicles, earth moving machines and heavy industry components which it began to produce initially. Motus Crankshaft which produces crankshafts on its own premises under a closed area of 12.000 ² successfully exports 40% of its total production to 50 countries 15 of which are members of the European Union.
                 
                 
            ",Motus Crankshaft,Hasan Cihat Baybağan ,Konya Organize Sanayi Bölgesi 9. SK. NO:37 Selçuklu,Konya,Turkey,English ,+(90)-332-2392000,+(90)-332-2391243,motuscompany.com,https://www.linkedin.com/in/hcbybgn1
"
                Beybi was founded in 1949 in Maslak, a district of Istanbul and is a family-owned and professionally administered company which ranks among one of the deeply-rooted and trustworthy companies in Turkey according the official surveys and stats. As of today, Beybi operates in four different fields such as household gloves, work and industry gloves, medical gloves and medical disposables and insistently expands its product range to meet its customer's needs and requirements. Beybi maintains a modern production facility as it contributes to the Turkish economy by employing over 500 personnel in a 45,000m² state-of-the-art plant located in Dudullu, Istanbul and a 9,000m² state-of-the-art plant located in Gürsu, Bursa . Beybi has 4 factories in different cities of Turkey. Beybi is the first company in its sector who was certified by TSE in 1987 for its proficiency in production. It has further received TS EN ISO 9002 quality assurance system certificate in 1996. In 2004, AMTAC, a well-known British notified body for international standardization, certified Beybi with CE mark, ISO 9001 and ISO 13485. Ranging from procurement to manufacturing practices, from product to customer and after-sales services, quality aspects matter in all processes of Beybi. Based on the principles of continuous improvement and sustainable growth, Beybi thoroughly invests in human capital, its CRM infrastructure and in sophisticated B2B solution to maximize the customer satisfaction.
                 
                 
            ",Beybi Plastic,Tuğçe Turan,Yukarı Dudullu Organize Sanayi Bölgesi 1. Cad. No: 27                                 Ümraniye 34775,İstanbul,Turkey,,+(90)-212-4201104,+(90)-212-5400464,beybi-is.com.tr,https://www.linkedin.com/in/tu%C4%9F%C3%A7e-turan-6990674b
"
                Roketsan, was founded in 1988 by the resolution of the Defense Industries Executive Committee for the purpose of “possessing a leading institution in the country for designing, developing and manufacturing rockets and missiles” the first production project of which had been the manufacture of propulsion system of Stinger missiles within the frame of “Stinger European Joint Production Project” which was an international program. Under the Stinger Project, the production of composite fueled launching and flight motors, one of the critical subsystems of the missiles, was undertaken by Turkey. It was because the composite solid fuel technology was not available in Turkey at the time, Ministry of National Defense (MSB) resolved to establish a new corporation for producing composite fueled launching and flight motors. As a result of this resolution and the existing demand, Roketsan was founded on 14 June 1988 to enable the Defense Industries Executive Committee to meet the rocket and missile requirements of the Turkish Armed Forces (TSK). Roketsan, has not only met the requirements of the Stinger Consortium fully in time, thanks to the correct strategies adopted to realize the objectives of its foundation, but also succeeded in transforming the transferred technologies into new products, using the brain power it has developed to the benefit of our country and passing well beyond that intermediary goal, has become a highly specialized national industry in the field of rockets/missiles. During the autumn of 1988, following the resolution taken in the summer of the same year, the work started in a hired building in İskitler sector in Ankara, with a skeleton team of 25, with limited experience in defense industries but highly enthusiastic about the national duty assigned to themselves. Along with the planning and preparation work oriented towards the requirements of European Stinger consortium, construction of facilities was started on an approximately 1000 Ha area in Elmadağ, an arid piece of land at that time, the proprietorship of which was transferred first from Machinery and Chemical Industries Inc. (MKEK) to the Undersecretariat of Defense Industries (SSM) and then leased to Roketsan by SSM. Early in 1989 land leveling and preparation work started in the area whereas the construction of the buildings and infrastructure necessary for the production was completed in 1991. Following the completion of the production facilities, 38 motors were produced as a pilot lot without any defect and delivered to the consortium before the assigned delivery period expired. In line with the provisions of the contract the production of launching and flight motors of Stinger missiles was commenced. Roketsan, realizing the production and the exportation of propulsion system to meet the requirements of all the countries which are members of the consortium, has become the owner of the second big slice of the business among the 15 member countries participating in the program. What are more important than the economical benefits obtained is the countless advanced technologies and experience gained which our country needs, the major one among tem being the composite fuel motor technology. Such gains have constituted the infrastructure needed for the succeeding projects. A great number of engineers who were employed in the Engineering Development Unit established early in the foundation process, with their Stinger Project experience have digested the technologies they acquired in later National and NATO projects and have been skilled in using this infrastructure in designing original products. Roketsan, regarded as questionable and undependable by the other member countries of the consortium in the early stages of the Stinger project because it lacked the experience and facilities, later became the first company to complete the production line qualification with great success under the patronage and the support of MSB; effected shipments with zero defect before the deadline of the program and, thus, earned the respect of all program and gained the confidence and credibility necessary for the consequent potential projects. By the completion of the missile design infrastructure development project in 1995 which had been started in 1992, for the purpose of training competent personnel necessary for designing rockets and missiles as well as developing design tools, “design focused” era began for Roketsan. Thanks to the infrastructure formed, aiming at becoming the party responsible from the system, design, development and production of originally designed, composite fueled TR-107 Rocket with a range of 11 km and TR – 122 Rocket with a range of 40 km as well as Sakarya Multi Barrel Rocket Launcher (MBRL) Weapon System were realized for satisfying the needs of the Turkish Armed Forces before the Stinger project was completed in 1999, all the foregoing weapons being much more developed than their equivalents all over the world. Inclusion of this weapon system and the rockets in the inventories of the Land Forces Command in 1996 became a significant milestone both for Roketsan and Turkish Armed Forces. The production infrastructure was strengthened and diversified for the purpose of realizing the projects initiated by the Ministry of National Defense towards the end of the 90’s produce long range rockets and missiles which were going to increase firing power of our Land Forces in depth. As a result of these efforts during which new technologies were acquired, Kasırga (Hurricane) Rocket and Weapon System and Yıldırım (Lighting) Missile and Weapon System were included in the inventory of the Turkish Armed Forces. During the 2.75” Laser Guided Missile CİRİT project which was initiated by the Ministry of National Defense in 2004 to meet the requirement of the Land Forces, advance technologies were developed such as Laser Guidance, Intermediate Stage Guidance, Insensitive Rocket Motor and Insensitive Warhead, as a result of the completely original design studies, those different than of their equivalents all over the world. Early in 2004, export contract were signed for rockets and weapon systems produced according to original designs and with the skills developed in the past. Thus, product and service sales to foreign countries were started at system level. In 2005 and after, an extensive industrial structure was formed under the prime contractorship of Roketsan, by means of the project agreements concluded within the frame of the studies conducted for the development of original missile systems, Long Range Anti-Tank Missile UMTAS, Medium Range Anti-Tank Missile OMTAS and Towed Low Altitude Air Defense Missile System, started and currently supported by SSM. Moreover, in these projects technologies such as On Board RF Data Link, Imager Infrared (IIR) Seeker Head, Insensitive Tandem War Head and Platform Integration have been acquired. Intermediate Guidance technologies were carried even further with the Insensitive Rocket Motor developed during the studies for Multi-Stage propulsion System and CİRİT Missile. Under the agreement entered with NAMSA on the requirement of Turkish Armed Forces, Munitions Sorting and Separating Facilities (MAAT) erected for disposal of the monitions the shelf life of which is expired, safety and without environmental hazards were delivered in November 2007. The installation of Munitions Life Assessment Facility (MIGYEM) was completed in 2011 and it was delivered also under the agreement with NAMSA. The setting up work the Ballistic Protection Center (BKM) housing the infrastructure required for the design, development, production and testing of the armor of ALTAY National Tank as well as various armor systems started in November 2009 in line with the agreement concluded between SSM and Roketsan was completed by Roketsan and the facility was commissioned on 28 November 2010. CİRİT missile, produced under the production contract signed in 2011, after the product and production line qualification procedures are completed as the first missile system with an original design, was introduced to TSK inventory in May 2012. Another significant development in the history of Roketsan has been the integration of Tapasan into our body. Fuze is one of the important subsystems for rockets and missiles as well as other types of munitions. Tapasan A.Ş. (Fuze Industries Inc.) which had been established to meet the fuze requirements of TSK as an affiliate of TSKGV (Turkish Armed Forces Strengthening Foundation) merged with Roketsan in June 2012. To review our CEO’s resume, please click here . Roketsan which started operations in 1988 with a skeleton team is rapidly going forward today to become a global company in defense industries sector with personnel of more than 1900, 52 % of which comprise engineers, an invested capital of TL 4 Billion and its accumulation of technologic knowledge. Since the day it was established Roketsan has, as dictated by the mission it has undertaken, acquired the skills in designing and producing rocket / missile systems nationally and in line with demands, those including design and technology infrastructure development projects, product development and production programs, in training the users and in meeting the logistic support requirements of weapon systems. As it with all the other defense industry establishments all over the world, Roketsan has also targeted at widening its product range to cover Land, Air and Sea Weapon Systems, to sustain its existence and for this purpose, has undertaken assignments in a number of national and international projects or also become a candidate for such roles. Roketsan, the very first establishment process was started in 1988 on a barren piece of land in Elmadağ/Ankara, has become a corporation, the operations of which now extend beyond the borders of the country, which participates in NATO programs in its field of technology and which is capable of supplying i
                 
                 
            ",Roketsan,Cem Taşdeler,Kemalpaşa Mahallesi Şehit Yüzbaşı Adem Kutlu Sokak No:21  Elmadağ 06780,Ankara,Turkey,,+(90)-312-8605500,+(90)-312-8634208,www.roketsan.com.tr,https://www.linkedin.com/in/cem-tasdeler-28083681
"
                Duyar is founded in Istanbul 50 years ago. Today, Duyar is one of the leading valve manufacturing and marketing company in Turkey. Cast iron and ductile iron gate valves, butterfly valves, ball valves, metal bellows sealed globe valves, check valves, strainers, brass and stainless steel ball valves, metal bellows expansion joints are in our product range. We also manufacture OS&Y valves, NRS valves, test and drain valves, butterfly valves with supervisory switch, wet alarm valves, and sprinklers for fire system installations. The Duyar corporate philosophy is to bring to the market new and innovative valve designs with special emphasis on quality, safety, ease of operation, simple in-line maintenance and most of all, long service life. All this, combined with the use of high quality materials and advanced manufacturing technology in all stages of manufacturing, ensures the highest possible quality at a competitive price.
                 
                 
            ",Duyar Valve,Mehmet Çim,Ugur Mumcu Mah. 2347 Sokak No:7 Sultangazi 34265,İstanbul,Turkey,,+(90)-212-6681808,+(90)-212-5947342,www.duyarvalve.com,https://www.linkedin.com/in/mehmet-çim-0b119968
"
                ASELSAN is a company of Turkish Armed Forces Foundation, established in 1975 in order to meet the communication needs of the Turkish Armed Forces by national means. Currently (5,43% of the shares are owned by the Foundation whereas the remaining 15,3% runs in İstanbul Borsa stock market. ASELSAN is the largest defense electronics company of Turkey whose capability/product portfolio comprises communication and information technologies, radar and electronic warfare, electro-optics, avionics, unmanned systems, land, naval and weapon systems, air defence and missile systems, command and control systems, transportation, security, traffic, automation and medical systems. Today ASELSAN has become an indigenous products exporting company, investing in international markets through various cooperation models with local partners and listed as one of the top 100 defence companies of the world (Defense News Top 100). ASELSAN, together with the technology emphasis in its vision, has targeted to be a company that maintains its sustainable growth by creating value in the global market; preferred due to its competitiveness, trusted as a strategic partner, and caring for the environment and people. Together with the highly qualified engineering staff within more than 5000 employees, being the main driving factor of the company's success, ASELSAN allocates 6% of its annual income for self-financed research and development activities.
                 
                 
            ",Aselsan,Galip İçten Gerçek,Mehmet Akif Ersoy Mahallesi 296. Cadde No: 16 Yenimahalle 06370,Ankara,Turkey,,+(90)-312-5921000,+(90)-312-3541302,www.aselsan.com.tr,https://linkedin.com/in/galip-icten-gercek-62567214
